"Hex_tag_ID","Duwamish People's Park","Lower Green Barge 1","Lower Green Barge 2","Lower Russel Backwater","Porter Side Channel","WDFW TBiOS Opposite Slip 4","WDFW TBiOS Slip 4"
"3DD.003DEEC21C",NA,NA,2024-05-16 21:18:21,NA,NA,NA,NA
"3DD.003DEEC221",NA,2024-05-16 21:03:39,NA,2024-05-16 21:03:39,NA,NA,NA
"3DD.003DEEC224",NA,NA,2024-05-16 21:02:00,NA,NA,NA,NA
"3DD.003DEEC225",NA,2024-05-16 23:04:23,2024-05-16 23:07:57,2024-05-16 23:04:23,NA,NA,NA
"3DD.003DEEC22E",NA,2024-05-16 22:01:33,2024-05-16 22:04:47,2024-05-16 22:01:33,NA,NA,NA
"3DD.003DEEC234",NA,NA,2024-05-16 21:05:18,NA,NA,NA,NA
"3DD.003DEEC236",NA,2024-05-16 21:09:57,2024-05-16 21:13:33,2024-05-16 21:09:57,NA,NA,NA
"3DD.003DEEC237",NA,NA,2024-05-16 21:32:25,NA,NA,NA,NA
"3DD.003DEEC239",NA,NA,2024-05-16 21:14:19,NA,NA,NA,NA
"3DD.003DEEC23B",NA,2024-05-16 21:31:22,NA,2024-05-16 21:31:22,NA,NA,NA
"3DD.003DEEC23E",NA,NA,2024-05-16 21:05:07,NA,NA,NA,NA
"3DD.003DEEC240",NA,2024-05-16 21:10:23,NA,2024-05-16 21:10:23,NA,NA,NA
"3DD.003DEEC241",NA,2024-05-16 21:04:38,2024-05-16 21:08:05,2024-05-16 21:04:38,NA,NA,NA
"3DD.003DEEC243",NA,2024-05-16 22:14:03,NA,2024-05-16 22:14:03,NA,NA,NA
"3DD.003DEEC246",NA,NA,2024-05-16 21:38:27,NA,NA,NA,NA
"3DD.003DEEC248",NA,NA,2024-05-16 21:14:23,NA,NA,NA,NA
"3DD.003DEEC24E",NA,NA,2024-05-16 21:58:21,NA,NA,NA,NA
"3DD.003DEEC257",NA,NA,2024-05-16 21:08:29,NA,NA,NA,NA
"3DD.003DEEC258",NA,NA,2024-05-16 21:00:01,NA,NA,NA,NA
"3DD.003DEEC259",NA,2024-05-16 23:22:53,NA,2024-05-16 23:22:53,NA,NA,NA
"3DD.003DEEC25B",NA,NA,2024-05-16 21:11:49,NA,NA,NA,NA
"3DD.003DEEC25C",NA,NA,2024-05-16 21:07:39,NA,NA,NA,NA
"3DD.003DEEC263",NA,2024-05-16 21:07:42,2024-05-16 21:11:18,2024-05-16 21:07:42,NA,NA,NA
"3DD.003DEEC264",NA,NA,2024-05-16 21:19:42,NA,NA,NA,NA
"3DD.003DEEC265",NA,2024-05-16 21:19:23,NA,2024-05-16 21:19:23,NA,NA,NA
"3DD.003DEEC266",NA,NA,2024-05-16 22:08:06,NA,NA,NA,NA
"3DD.003DEEC267",NA,2024-05-16 20:50:42,NA,2024-05-16 20:50:42,NA,NA,NA
"3DD.003DEEC268",NA,NA,2024-05-16 21:13:06,NA,NA,NA,NA
"3DD.003DEEC26A",NA,NA,2024-05-16 21:14:00,NA,NA,NA,NA
"3DD.003DEEC26E",NA,NA,2024-05-16 21:22:57,NA,NA,NA,NA
"3DD.003DEEC26F",NA,NA,2024-05-16 21:40:11,NA,NA,NA,NA
"3DD.003DEEC271",NA,2024-05-16 21:13:31,2024-05-16 21:16:53,2024-05-16 21:13:31,NA,NA,NA
"3DD.003DEEC277",NA,2024-05-16 21:01:49,NA,2024-05-16 21:01:49,NA,NA,NA
"3DD.003E403CED",2024-06-10 06:28:33,2024-06-10 06:28:33,NA,NA,NA,NA,NA
"3DD.003E45C0AD",NA,2024-05-02 01:19:31,NA,2024-05-02 01:19:31,NA,NA,NA
"3DD.003E45C0AE",NA,NA,2024-05-01 21:07:02,NA,NA,NA,NA
"3DD.003E45C0B0",NA,2024-05-01 23:25:01,NA,2024-05-01 23:25:01,NA,NA,NA
"3DD.003E45C0B2",NA,2024-05-01 21:00:07,2024-05-01 21:02:57,2024-05-01 21:00:07,NA,NA,NA
"3DD.003E45C0B4",NA,2024-05-01 21:23:54,NA,2024-05-01 21:23:54,NA,NA,NA
"3DD.003E45C0B7",NA,2024-05-01 21:31:15,2024-05-01 21:34:27,2024-05-01 21:31:15,NA,NA,NA
"3DD.003E45C0B8",NA,NA,2024-05-02 04:56:40,NA,NA,NA,NA
"3DD.003E45C0B9",NA,2024-05-01 22:13:04,NA,2024-05-01 22:13:04,NA,NA,NA
"3DD.003E45C0BA",NA,NA,2024-05-01 21:35:08,NA,NA,NA,NA
"3DD.003E45C0BB",NA,NA,2024-05-01 22:00:05,NA,NA,NA,NA
"3DD.003E45C0BC",NA,2024-05-01 21:04:41,2024-05-01 21:08:25,2024-05-01 21:04:41,NA,NA,NA
"3DD.003E45C0BD",NA,2024-05-01 21:19:22,NA,2024-05-01 21:19:22,NA,NA,NA
"3DD.003E45C0BF",NA,NA,2024-05-02 01:24:13,NA,NA,NA,NA
"3DD.003E45C0C3",NA,2024-05-02 00:45:05,NA,2024-05-02 00:45:05,NA,NA,NA
"3DD.003E45C0C5",NA,NA,2024-05-01 21:06:47,NA,NA,NA,NA
"3DD.003E45C0C7",NA,NA,2024-05-01 21:06:37,NA,NA,NA,NA
"3DD.003E45C0C8",NA,2024-05-02 02:43:43,NA,2024-05-02 02:43:43,NA,NA,NA
"3DD.003E45C0CA",NA,NA,2024-05-01 23:48:52,NA,NA,NA,NA
"3DD.003E45C0CB",NA,NA,2024-05-01 23:37:24,NA,NA,NA,NA
"3DD.003E45C0CC",NA,2024-05-01 23:12:58,NA,2024-05-01 23:12:58,NA,NA,NA
"3DD.003E45C0CE",NA,NA,2024-05-02 03:20:02,NA,NA,NA,NA
"3DD.003E45C0CF",NA,NA,2024-05-02 05:25:48,NA,NA,NA,NA
"3DD.003E45C0D0",NA,2024-05-01 21:31:57,NA,2024-05-01 21:31:57,NA,NA,NA
"3DD.003E45C0D1",NA,NA,2024-05-01 21:06:35,NA,NA,NA,NA
"3DD.003E45C0D2",NA,NA,2024-05-01 21:34:14,NA,NA,NA,NA
"3DD.003E45C0D3",NA,2024-05-02 03:32:43,NA,2024-05-02 03:32:43,NA,NA,NA
"3DD.003E45C0D6",NA,2024-05-02 03:46:29,NA,2024-05-02 03:46:29,NA,NA,NA
"3DD.003E45C0D7",NA,NA,2024-05-02 18:16:19,NA,NA,NA,NA
"3DD.003E45C0D8",NA,NA,2024-05-01 21:56:07,NA,NA,NA,NA
"3DD.003E45C0DB",NA,2024-05-02 17:15:58,2024-05-19 09:46:18,2024-05-02 17:15:58,NA,NA,NA
"3DD.003E45C0DC",NA,2024-05-01 21:50:42,2024-05-01 21:53:38,2024-05-01 21:50:42,NA,NA,NA
"3DD.003E45C0DE",NA,2024-05-01 23:20:31,NA,2024-05-01 23:20:31,NA,NA,NA
"3DD.003E45C0DF",NA,NA,2024-05-01 21:12:53,NA,NA,NA,NA
"3DD.003E45C0E1",NA,2024-05-02 03:56:22,NA,2024-05-02 03:56:22,NA,NA,NA
"3DD.003E45C0E2",NA,NA,2024-05-02 04:06:09,NA,NA,NA,NA
"3DD.003E45C0E3",NA,2024-05-01 21:14:51,NA,2024-05-01 21:14:51,NA,NA,NA
"3DD.003E45C0E6",NA,2024-05-01 22:31:20,2024-05-01 22:34:49,2024-05-01 22:31:20,NA,NA,NA
"3DD.003E45C0E7",NA,2024-05-01 21:11:50,NA,2024-05-01 21:11:50,NA,NA,NA
"3DD.003E45C0E8",NA,2024-05-01 21:59:13,2024-05-01 22:02:00,2024-05-01 21:59:13,NA,NA,NA
"3DD.003E45C0E9",NA,2024-05-01 21:10:06,2024-05-01 21:13:02,2024-05-01 21:10:06,NA,NA,NA
"3DD.003E45C0EA",NA,2024-05-01 22:06:01,2024-05-01 22:09:01,2024-05-01 22:06:01,NA,NA,NA
"3DD.003E45C0EE",NA,NA,2024-05-01 21:39:32,NA,NA,NA,NA
"3DD.003E45C0F1",NA,NA,2024-05-02 01:08:50,NA,NA,NA,NA
"3DD.003E45C0F3",NA,2024-05-01 22:02:06,NA,2024-05-01 22:02:06,NA,NA,NA
"3DD.003E45C0F4",NA,2024-05-01 21:34:14,NA,2024-05-01 21:34:14,NA,NA,NA
"3DD.003E45C0F5",NA,NA,2024-05-01 21:49:07,NA,NA,NA,NA
"3DD.003E45C0F6",NA,2024-05-01 21:14:19,NA,2024-05-01 21:14:19,NA,NA,NA
"3DD.003E45C0F8",NA,2024-05-01 22:30:12,NA,2024-05-01 22:30:12,NA,NA,NA
"3DD.003E45C0FA",NA,2024-05-01 20:58:18,NA,2024-05-01 20:58:18,NA,NA,NA
"3DD.003E45C0FD",NA,2024-05-27 01:35:52,NA,2024-05-27 01:35:52,NA,NA,NA
"3DD.003E45C0FE",NA,2024-05-01 21:11:31,NA,2024-05-01 21:11:31,NA,NA,NA
"3DD.003E45C0FF",NA,2024-05-01 21:59:00,NA,2024-05-01 21:59:00,NA,NA,NA
"3DD.003E45C100",NA,2024-05-01 21:07:42,NA,2024-05-01 21:07:42,NA,NA,NA
"3DD.003E45C102",NA,NA,2024-05-01 21:41:14,NA,NA,NA,NA
"3DD.003E45C103",NA,NA,2024-05-01 21:42:31,NA,NA,NA,NA
"3DD.003E45C106",NA,2024-05-01 21:16:08,2024-05-01 21:18:52,2024-05-01 21:16:08,NA,NA,NA
"3DD.003E45C107",2024-05-04 15:02:44,2024-05-04 15:02:44,NA,NA,NA,NA,NA
"3DD.003E45C108",NA,2024-05-01 22:29:00,NA,2024-05-01 22:29:00,NA,NA,NA
